Contexto.Precedente,Ocorrencia,Contexto.Seguinte,faixa.etaria,sexo.genero,registro,amostra
poucos recursos devido a família grande,NÓS <N>,mesmos fazíamos as nossas diversões,3,H,DID,II
foram pra casa na casa que,nós <N>,onde morava Lá Dionísio torres,3,H,DID,II
irmãos não queriam vir pra cá,NÓS <N>,NAcimo lá conhecia todo mundo,3,H,DID,II
Castelo era/era o pessoal PEN-as-va que,nós <N>,éramos assim e/e um pessoal,3,H,DID,II
no ano que tivesse essas festas,nós <N>,tava lá né sempre tinha,3,H,DID,II
a noite passava o dia estudando,nós <N>,passava na sede do colégio,3,H,DID,II
uns tdzin o vestibular no ar...,nós <N>,chegava em casa tomava um,3,H,DID,II
que tinha era o mais famoso,nós <N>,ficava resolvendo os tds (),3,H,DID,II
regatas aqui jamais eu faria... porque,nós <N>,íamos em pé nos resgatas,3,H,DID,II
oito e atirou na gente né...,nós <N>,tivemo SOR-te né e atirou,3,H,DID,II
() bastante democrática né... (...) e,nós <N>,fazíamos no/na conviDÁvamos... os POlíticos,3,H,DID,II
aqui no bairro Vila VElha certo...,nós <N>,temos uma situação essa semana,3,H,DID,II
eles iam matar o direTOR e,nós <N>,conselheiros... o Ademir disse isso,3,H,DID,II
contado pra esse primo DEle que,nós <N>,imaginávamos que fosse ele que,3,H,DID,II
a vioLÊNcia... que aqui no Liceu,nós <N>,tivemos uma morte de um,3,H,DID,II
ficar parado não... não é que,nós <N>,tamu na faculdade não... PROfessor,3,H,DID,II
e eu brin::co com ela porque,nós <N>,temos aqui a educação de,3,H,DID,II
presepada com coisa ( )...rapaz aqui,nós <N>,num somos assim não num,3,H,DID,II
TIpo político que vai salvar todos,NÓs <N>,são só os fiéis irraCIONAIS…,1,H,DID,II
e aquilo acaba me estimuLANdo porque,nós <N>,outros já tive outros relacionaMENtos,2,H,DID,II
em relaÇÃO ao momento atual que,nós <N>,estamos vivendo né... é no,1,H,DID,II
grupo/ assim foi da dona B...,nós <N>,passamo(...) Doc. – [perto,3,M,DID,II
avião... foi muito bom... e lá,nós <N>,ficamo numa pouSAda... Doc.,3,M,DID,II
aí ligou e essa topique veio,nós <N>,pegamos essa topique e fomos,3,M,DID,II
a gente ia conhecer uma coisa...,nós <N>,fomos conhecer a/ teve um,3,M,DID,II
ía conhecer as coisas... outro dia,nós <N>,fomos pra paraguai também... fronTEira...,3,M,DID,II
assim... o povo... Inf. –,nós <N>,fomo num/ num local de,3,M,DID,II
gramado foi muito bom lá... quando,nós <N>,descemo no aeroporto/ porto alegre,3,M,DID,II
é perigoso lá em porto alegre...,nós <N>,(pega)/ pedimo logo um... um,3,M,DID,II
neh... aí chegamo lá em graMAdo...,nós <N>,ficamo em uma... uma pousada,3,M,DID,II
como pousada... aí também lá tinha...,nós <N>,fomo pra ficar pra fazer,3,M,DID,II
– ah... foi tanta coisa que,nós <N>,conheCEmo lá... a casa de,3,M,DID,II
danada... aí pronto... no dia que,nós <N>,fomo pra caNEla... também/ não...,3,M,DID,II
que fomo pra/ lá pra catedral,nós <N>,pegamos um... um taxi... tipo,3,M,DID,II
um carro... a T. chamava... aí,nós <N>,pagamo nada não nós <N>,3,M,DID,II
aí nós <N> pagamo nada não,nós <N>,fomos nesse ônibus... na cvc...,3,M,DID,II
tudo... foi BOM demais nesse dia...,nós <N>,passamo o dia todinho só,3,M,DID,II
Inf. – eu sei que,nós <N>,passamo cinco dia cada dia,3,M,DID,II
Inf. – no dia que,nós <N>,chegamos lá em gramado... nós,3,M,DID,II
nós <N> chegamos lá em gramado...,nós <N>,fomo pra/ andar num trêm...,3,M,DID,II
chocolate quente... aí na hora que,nós <N>,chegamo nesse local pra pegar,3,M,DID,II
foi só no primeiro dia... que,nós <N>,chegamo lá... botamo as coisa/,3,M,DID,II
de passagem... só pra conhecer mesmo...,nós <N>,fomos nesse shopping(...) Doc.,3,M,DID,II
– paGAva... já pagava o pacote...,nós <N>,já pagamos TUdo daqui... os,3,M,DID,II
que tava morando lá... eu fui...,nós <N>,passamos eu acho que foi,3,M,DID,II
leva quanto tempo? Inf. –,nós <N>,saímos daqui era oito hora,3,M,DID,II
assim traga roupa de frio... aí,nós <N>,Doc. – foi a,3,M,DID,II
quando chegamo lá em jacóbina... que,nós <N>,descemos na rodoviária(...) Doc.,3,M,DID,II
Inf. – tem tudo... aí quando,nós <N>,descemo só eu e a,3,M,DID,II
e a A... valha meu deus,nós <N>,vamos ficar aqui SOzinha A.(...),3,M,DID,II
– descemo aqui né... jacóbina... aí,nós <N>,descemo... valha A. nós <N>,3,M,DID,II
aí nós <N> descemo... valha A.,nós <N>,vamos ficar aqui sozinha... aí,3,M,DID,II
motorista disse assim/ aí a A.,nós <N>,vamos ficar aqui sozinha? não...,3,M,DID,II
Inf. – não tinha NAda...,nós <N>,desce/ quando desce aqui que,3,M,DID,II
fiquei foi com medo... valha A.,nós <N>,vamos ficar aqui sozinha... aí,3,M,DID,II
tipo a rodoviária daqui né... aí...,nós <N>,fomos (jatobi)/ ah eu vou,3,M,DID,II
chegaram que horas? Inf. –,nós <N>,chegamo na rodoviária quatro hora...,3,M,DID,II
sosseguei... mas pronto quando ele chegou,nós <N>,botamos as coisas no carro,3,M,DID,II
que lá? Inf. – aí,nós <N>,teve um dia que nós,3,M,DID,II
nós <N>/ teve um dia que,nós <N>,fomos pra lençóis::... é LONge...,3,M,DID,II
<N> fomos pra lençóis::... é LONge...,nós <N>,saímo de lá dez horas,3,M,DID,II
ah é? Inf. – aí,nós <N>,fomos logo atrás das pousada,3,M,DID,II
diária... num sei... aí sei que,nós <N>,fomos/ aí um rapaz disse,3,M,DID,II
reais? Inf. – tinha... aí,nós <N>,dormimos... no outro dia café,3,M,DID,II
dia que a gente ia visitar/,nós <N>,fomo outro dia/ véu de,3,M,DID,II
mundo... teve outro dia também que,nós <N>,fomos conhecer outro/ conta o,3,M,DID,II
nadar... mas lá no ( ),nós <N>,tomamos banho... Doc. –,3,M,DID,II
meu sobrinho... também foi muito bom...,nós <N>,ficamos lá em pimentas::... e,3,M,DID,II
que nesse dia que ele chegou,nós <N>,fomos pra aparecida do norte(...),3,M,DID,II
ai fomos conhecer apareCIda... só que,nós <N>,quando chegamos lá em apareci/,3,M,DID,II
– andei lá em são paulo...,nós <N>,andamos de metrô Doc.,3,M,DID,II
primeira vez que andei de metrô...,nós <N>,fomos pra uma cidade lá(...),3,M,DID,II
pro jardim botânico... teve um dia,nós <N>,fomo conhecer um shopping... que,3,M,DID,II
e L. e o V... aí,nós <N>,fomos pra ficar numa pousada,3,M,DID,II
que quando eles chegaram na/ não,nós <N>,vamos ficar aqui mesmo ninguém,3,M,DID,II
conhecer uma/ lá mesmo... assim que,nós <N>,fomos nós <N> paramos em,3,M,DID,II
mesmo... assim que nós <N> fomos,nós <N>,paramos em pacoti... Doc.,3,M,DID,II
conhecemos um balneário né... só que,nós <N>,levamos tipo um piquenique... cada,3,M,DID,II
lá... tinha lá restaurante... só que,nós <N>,tudo dentro do carro... aí,3,M,DID,II
Inf. – aí pronto depois,nós <N>,pegamos o carro e fomos,3,M,DID,II
a degustação... depois conhecemos várias coisas...,nós <N>,fomos merendar no foi no,3,M,DID,II
– é uma jardineira é... aí,nós <N>,fomos lá pra outro/ distante...,3,M,DID,II
Inf. – foi não... aí,nós <N>,fomos toda a família... mas,3,M,DID,II
vez a V. conseguiu né... aí,nós <N>,fomos passar lá... só o,3,M,DID,II
fomos passar lá... só o natal...,nós <N>,fomos passar uma semana... era,3,M,DID,II
ia... aí eu só sei que,nós <N>,eles resolveram passar o final,3,M,DID,II
resolveram passar o final do ano...,nós <N>,só ia pro natal... aí,3,M,DID,II
aí o pai ficou chateado porque,nós <N>,não passamo aqui em casa,3,M,DID,II
ele/ um dia na segunda-feira quando,nós <N>,se levantamos tomamos o café,3,M,DID,II
– de manhãzinha bem cedinho quando,nós <N>,Doc. – mas quanto,3,M,DID,II
meu deus... Inf. – aí,nós <N>,fomos pro hospital... chegou lá,3,M,DID,II
depressão nessa época... por que que,nós <N>,já vamos? não... tem que,3,M,DID,II
[foi...hunrum... teve até uma época que,nós <N>,internamo ela numa clínica... teve,3,M,DID,II
vocês já pequena Inf. –,nós <N>,tudo peQUEna... era... aí eu,3,M,DID,II
próximo ano quem não tiver faculdade,nós <N>,vamos botar pra fora... aí,3,M,DID,II
ele foi embora... foi justamente quando,nós <N>,fomos pro retiro aí lá,3,M,DID,II
dias... foi... no final de semana,nós <N>,fomos pro retiro e ele,3,M,DID,II
– é... também é daqui/também todos,nós <N>,somos do montese Doc.-,2,M,DID,II
que primeiro de tudo por exemplo,nós <N>,que somos contadores vocês quando,2,M,DID,II
... porque não é... não somos,nós <N>,que provem da familia não,2,M,DID,II
que provem da familia não somos,nós <N>,que nascemos da mesma mulher...,2,M,DID,II
que...a gente tem preconceito com ele...não,nós <N>,não temos preconceito com ele,2,M,DID,II
dele aceita mas ela acha que,NÓS <N>,<N> que somos tias que,2,M,DID,II
aceita mas ela acha que NÓS,nós <N>,que somos tias que somos/,2,M,DID,II
dois Infor.- do/dois ano...aí depois,nós <N>,nos caSAmos... mas ele é,2,M,DID,II
se beijando... que eu não concordo,nós <N>,<N> homem e mulher não,2,M,DID,II
beijando... que eu não concordo que/nós,nós <N>,homem e mulher não se,2,M,DID,II
Infor.- eu sempre GOStei...ele ele...inclusive quando,nós <N>,nos casamos a gente veio,2,M,DID,II
G.... né? E aí ficou só,nós <N>,"TRÊs por um bom::: período,",2,M,DID,II
lá:: e nesse período era só,nós <N>,três AÍ a minha mãe,2,M,DID,II
- enTÃO a GEnte brincava MUIto,nós <N>,duas né... e AÍ:: a,2,M,DID,II
assim dar escola particular para todos,nós <N>,não dava né? Doc.,2,M,DID,II
de ser muito pobres... né porque,nós <N>,éramos pessoas... muito muito pobre,3,M,DID,II
- [ah ta Inf. -,nós <N>,morava num terreno grande... na,3,M,DID,II
em torno entre minha mãe e,nós <N>,éramos é::... eu estudei cheguei,3,M,DID,II
irmã folgada... ela estava junto comigo,nós <N>,éramos internas minha irmã mais,3,M,DID,II
minha irmã mais velha a Inês,nós <N>,éramos internas em Aracati... e...,3,M,DID,II
viajar pra cá pra fortaleza é::...,nós <N>,fomos visitar o rio Jaguaribe,3,M,DID,II
e aí nisso a gente pegou...,nós <N>,pegamos um barco e atravessamos,3,M,DID,II
se era Jane Jeane... éramos quando,nós <N>,chegamos lá... enquanto os adultos,3,M,DID,II
enquanto os adultos etavam se trocando,nós <N>,nos trocamos bem rápido e,3,M,DID,II
no buraco... aí desse buraco... escapamos,nós <N>,três é minha irmã depois,3,M,DID,II
tem os dois então só ficou,nós <N>,três eu Tarcísio e o,3,M,DID,II
de PAi é desse aliás todos,nós <N>...,meu irmão mais velho foi,3,M,DID,II
também na época eu fui cobaia...,nós <N>,somos a primeira turma a,3,M,DID,II
Inf. - [pronto eu peguei...,nós <N>,fomos a PRIMEIRA turma... de,3,M,DID,II
na época a gente poderia fazer,nós <N>,tínhamos três... é::... três é,3,M,DID,II
do senhor né... que ninguém sabe,nós <N>,não merecemos mas ele nos,3,M,DID,II
uma família católica apostólica românica... PRAticante...,nós <N>,temos uma base muito forte,3,M,DID,II
temos uma base muito forte espiritual,nós <N>,temos uma religião como como,3,M,DID,II
dizia minha tia uma religião doméstica,nós <N>,temos uma igreja doméstica dentro,3,M,DID,II
igreja doméstica dentro da nossa casa,nós <N>,fomos criados assim... de fazer,3,M,DID,II
festeja os aniversário de cada uma...,nós <N>,temos um uma... cota que,3,M,DID,II
faz assim uns dez anos que,nós <N>,temos essas amigas... né que,3,M,DID,II
mil e quatorze Inf. –,nós <N>,estávamos lá que nós <N>,3,M,DID,II
– nós <N> estávamos lá que,nós <N>,estávamos lá mesmo no/ dentro,3,M,DID,II
a conhecer... foi um presente que,nós <N>,ganha::mos... porque foi/... a neta,3,M,DID,II
foi eu e a Regina e,nós <N>,Fomos... fez um ano agora,3,M,DID,II
Fomos... fez um ano agora que,nós <N>,fomos((batidas na mesa))... Doc.,3,M,DID,II
agora em março eu passei lá,nós <N>,lá também foi muito bom,3,M,DID,II
fui a Orlando nos PARques também,nós <N>,aproveitamos conhecemos um dos parques,3,M,DID,II
a senhora? Inf. - acompanhou...,nós <N>,ficamos hospedadas na casa dela,3,M,DID,II
Regina e o filho da Regina...,nós <N>,ficamos hospedados na casa dela...,3,M,DID,II
Inf. – prova brasil é...,nós <N>,temos a Ana que é,3,M,DID,II
agora tá para o segundo... que,nós <N>,não vamos fazer esse ano,3,M,DID,II
- aula de reforço sábado agora,nós <N>,já vamos dar aula nós,3,M,DID,II
nós <N> já vamos dar aula,nós <N>,demos aula no dia dez...,3,M,DID,II
não não... às vezes sim... quando,nós <N>,chegamos aqui éramos uma escola,3,M,DID,II
Inf. – não.... as festas não...,nós <N>,estamos aí com o primeiro,3,M,DID,II
lá por exemplo a gente atende),nós <N>,trabalhamos em forma de plantão,2,M,DID,II
"por DETERMINAção a gente tem alunos,",nós <N>,tivemos uma época lá em,2,M,DID,II
a disposição a gente tem horário...,nós <N>,temos horário o aluno ele,2,M,DID,II
ele cria o horário dele mas,nós <N>,temos horário de entrada e,2,M,DID,II
eles tem Inf..- ELES tem...,nós <N>,temos um currículo nosso currículo,2,M,DID,II
chega ele escolhe que disciplina mas,nós <N>,da escola a gente sempre,2,M,DID,II
Português Matemática Ciências vai pro ENCCEJA...,nós <N>,não a gente acomPANHA ACOMPANHA,2,M,DID,II
ele precisa pra se sentir REAlizado,nós <N>,tivemos mais RECENte que ela,2,M,DID,II
coLAÇÃO de grau… -- em setembro,nós <N>,tivemos colação de grau --,2,M,DID,II
assim eu não sei quantos alunos,nós <N>,teríamos hoje lá… eu não,2,M,DID,II
da diversidade que... a gente estuda...,nós <N>,estudávamos no nosso curso... o,2,M,DID,II
um... um esTÁ para além de,nós <N>,esTÁ presente em todos os,2,M,DID,II
disciplina então foi é mu::ito difícil,nós <N>,tínhamos aula dia de TERça…,2,M,DID,II
QUÍMICA porque assim… com a  química,nós <N>,tínhamos que ter... aulas teóricas,2,M,DID,II
na outra semana…  Inf..- não…,nós <N>,não fazemos da química/da química,2,M,DID,II
Inf..- o mundo é outro e,nós <N>,estamos no outro tempo né::,2,M,DID,II
levar o bebê dela ((sorriu)) aí,nós <N>,fomos eu ela bebê e,3,M,DID,II
a gente eu e os irmãos,nós <N>,somos cinco... e a gente,3,M,DID,II
aqui seriam muito mais aproveitadas… por,NÓS <N>…,se elas fossem do meio,2,H,DID,II
que estão fora do contexto onde,nós <N>,onde nós <N> estamos entendendo,2,H,DID,II
do contexto onde nós <N> onde,nós <N>,estamos entendendo entende ?... porque,2,H,DID,II
não tem uma mensagem leGAL… mas,nós <N>,mos… se a gente conseguir,2,H,DID,II
meio difícil sabe hoje em dia,nós <N>,somos muito amigos… mas foi,2,H,DID,II
principalmente pela aquela parte política que,nós <N>,falamos… falamos no início de,2,H,DID,II
século treze... na:: na::... embora que,nós <N>,est/estejamos ai no finAL ...,2,H,DID,II
forma muito particular ... a que,nós <N>,não sabemos como era que,2,H,DID,II
ela é recente né ... então,nós <N>,temos uma histó::ria reALmente que,2,H,DID,II
a pizza GRAnde seRIA pouco pRA,Nós <N>,quaTRO Doc. – uhn::,3,H,DID,II
pizza aí era só quatro e,nós <N>,pedimos e a Adriana dizendo,3,H,DID,II
a gente ia ter que leVAR,nós <N>,não CONseguimos coMER Nem a,3,H,DID,II
- Chegar uhn:::... Inf. -,nós <N>,enTRAmos tipo num BARco você,3,H,DID,II
eles não entendIAM NAda mAIS resuMINDO,nós <N>,FOmos nesse PRAto que Era,3,H,DID,II
GOStaram aí a Adriana Se abRIU,Nós <N>,nos falamos não vamos FIcar aqUI,3,H,DID,II
VIAgem excelENTE de Uma vez só,nós <N>,conhecemos CINco países Né como,3,H,DID,II
você vai conheCER a cidade imensa,nós <N>,ADOramos era uma cidade diferente,3,H,DID,II
Só qUE SEis gRAUS puSITIvo pRA,nós <N>,que somos do NordESTE pra,3,H,DID,II
com sol maIS é fRIO pra,Nós <N>,Doc. - sim,3,H,DID,II
lá Em CIma aí uma vez,nós <N>,chegamos aí Tava nevando era,3,H,DID,II
fUI com um caSAcão peSAdo que,nós <N>,vamos PAssear de barco ai,3,H,DID,II
combiNEI com a Ana TerREsa qUE,nós <N>,VAmos faZER eu vou eu,3,H,DID,II
que era Um luGAR BUnito maIS,nós <N>,vamos dorMIR aqui nesse CArro,3,H,DID,II
meu pai e pela minha mãe...,nós <N>,somos ceases né...aqui da...da... da,3,H,DID,II
dos homens mais ricos de Fortaleza né...,nós <N>,lá na GuilherR::cha um quarteirão,3,H,DID,II
senhor é filho único? Inf: não;;;, nós <N>,somos em ... né ...um,3,H,DID,II
gente não gosta do nossos heróis...,nós <N>,não temos heróis... recentemente agora...semana,3,H,DID,II
um ladrão mata um cara desse?)...,nós <N>,vamos ficar com (o) ladrão,3,H,DID,II
nóis... assim né... do modo geral...,nós <N>,temos que mudar muito... o,3,H,DID,II
ela... botou comida... água... no domingo,nós <N>,fomos (lá) atrás dela pra,3,H,DID,II
minha filha mandou...(sei lá)... quinhento dólar...,nós <N>,operamos ela... procurei uma pessoa,3,H,DID,II
aí... fechando o contexto né... TOdos,nós <N>,de um modo geral... (claro,3,H,DID,II
eu dou...(aí no) contexto geral...  todos,nós <N>,somos políticos... só pensa na,3,H,DID,II
pensa na gente... contexto geral... todos,nós <N>,somos políticos... eu acho... eu,3,H,DID,II
eu acho... eu penso assim... todos,nós <N>,somos políticos...(porque) num se::i... às,3,H,DID,II
pelo seguinte... metade do seu salário...,nós <N>,vamos no cartó::rio... fazer a...,3,H,DID,II
projeção de cená::rios análise de variáveis,a gente<G>,não trabalha com ISso …,1,H,DID,II
gente<G> não trabalha com ISso …,a gente<G>,… acaba trabalhando com outras,1,H,DID,II
tem que ter o fio e,a gente<G>,fosse o primeir da cadeia,1,H,DID,II
o primeir da cadeia ali,a gente<G>,pega o algodão o de,1,H,DID,II
Inf. então como nos primeiros semestres,a gente<G>,nunca consegue da uma bolsa,1,H,DID,II
de outra empresa  por exemplo,a gente<G>,fecha os contratos vamos supor,1,H,DID,II
ra tivo ele não funcionava então,a gente<G>,implantou um novo sistema a,1,H,DID,II
contratos analisava com aminha tutora e,a gente<G>,lançava nonosismacomo contrato de aprendiz,1,H,DID,II
parte  Doc. eria o que,a gente<G>,chama de coleta seletiva,1,H,DID,II
econotatalvez eu não conseguisse  então,a gente<G>,acababuscando outras formas  se,1,H,DID,II
aqui começaram aa própria tilela fechou unidadeentão,a gente<G>,e o mercadoencurtouaí isso obrigou,1,H,DID,II
gente<G> e o mercadoencurtouaí isso obrigou,a gente<G>,a buscar outras sas,1,H,DID,II
coisaaí você tira o tanto que,a gente<G>,tem que trazer pra manter,1,H,DID,II
sse lote tem uma quantidade aí,a gente<G>,adequa a produção  Doc.,1,H,DID,II
o dólar be essa mercadoria que,a gente<G>,vai comprar raencaceentão quando a,1,H,DID,II
a gente<G> vai comprar raencaceentão quando,a gente<G>,vai o preço da mercadoria,1,H,DID,II
não tavatendo retorno suficiente pra manteraí,a gente<G>,começa a sofrer o impacto,1,H,DID,II
Inf. como eu falei que,a gente<G>,não podequalquer empresa não pode,1,H,DID,II
baratovamos trabalhar com fio diferenciado onde,a gente<G>,pode definir o nosso ço,1,H,DID,II
fábrica fico mandando o produto que,a gente<G>,mandava pra fábrica  então,1,H,DID,II
um será que vale a pena,a gente<G>,privatizar essa emsa como é,1,H,DID,II
privatizar essa emsa como é que,a gente<G>,vai privati se eu tenho,1,H,DID,II
como aria  Doc. to então,a gente<G>,pode utilizar desse dado como,1,H,DID,II
é o atualizado  Doc. ntão,a gente<G>,se utiliza desse dado pra,1,H,DID,II
que a constituição é velha que,a gente<G>,tá usando ela até je,1,H,DID,II
aí  Doc. erto aí quando,a gente<G>,fala nesses dados a gente<G>,1,H,DID,II
quando a gente<G> fala nesses dados,a gente<G>,je  Inf. dados que,1,H,DID,II
forma segundo a teoria tal talvez,a gente<G>,fizesse aqui fosse uma melhor,1,H,DID,II
São lo que é pra onde,a gente<G>,manada as mercadorias  Doc.,1,H,DID,II
índice de criminalidade do país aí,a gente<G>,por isso que essas pessoas,1,H,DID,II
lá eu até na casa deles,a gente<G>,foi pra lá eu vou,1,H,DID,II
eu vou fazer uma vita aí,a gente<G>,foi foi bem legal,1,H,DID,II
mudar  Inf. deu porque aí,a gente<G>,vê é muita diferença é,1,H,DID,II
choque muito de cultura um choque,a gente<G>,tava com uma turma e,1,H,DID,II
conversar pra decidir o quê que,a gente<G>,vai fazer só que nós,1,H,DID,II
carro que o pessoal tava esperando,a gente<G>,na faixa de pedestre quando,1,H,DID,II
gente<G> na faixa de pedestre quando,a gente<G>,olhou a gente<G> ficou com,1,H,DID,II
de pedestre quando a gente<G> olhou,a gente<G>,ficou com tanta vergonha que,1,H,DID,II
gente<G> ficou com tanta vergonha que,a gente<G>,passou a a  pra,1,H,DID,II
pados aí vamos passar a aí,a gente<G>,passou decidir o que fazer,1,H,DID,II
ele maltratava da minha mãe e,a gente<G>,VIa:... e aí então foi,1,M,DID,II
irmão que foi traumática mas mas::,a gente<G>,tem mais lembranças positivas quando,1,M,DID,II
gente<G> tem mais lembranças positivas quando,a gente<G>,morava na minha vó por-que::,1,M,DID,II
da minha mãe:: e aí quando,a gente<G>,precisava dela ela sempre estava,1,M,DID,II
ali:..  Inf. trabalha lá e,a gente<G>,e ela... e ela cresceu,1,M,DID,II
avô comprou uma casa e aí,a gente<G>,ficou lá::... porque a gente<G>,1,M,DID,II
aí a gente<G> ficou lá::... porque,a gente<G>,não tinha uma casa fixa,1,M,DID,II
gente<G> não tinha uma casa fixa,a gente<G>,sempre morava ou de aluGUEL,1,M,DID,II
moRAR e teve uma época que...,a GENte<G>,deciDIU ficar parar... ficar pulando,1,M,DID,II
morar... com ele e aí morava,a gente<G>,morava morava eu meu irmão,1,M,DID,II
e o meu ti::o... e aí,a gente<G>,e aí foi a infância,1,M,DID,II
infância assim mais::... mais legal que,a gente<G>,teve  Doc. certo... me,1,M,DID,II
onde é que é hoje que,a gente<G>,MOra e aí ela pergun,1,M,DID,II
é o meu pai... e aí,a gente<G>,como ela deciDIU então a,1,M,DID,II
a gente<G> como ela deciDIU então,a gente<G>,foi morar que hoje é,1,M,DID,II
nossa casa é por isso que,a gente<G>,saiu da casa da minha,1,M,DID,II
Inf que é hoje que,a gente<G>,mora  Doc. me conte,1,M,DID,II
Doc. é:: eu sei... mas... se,a gente<G>,for pensar hoje em dia,1,M,DID,II
POvo mas eu e minha mãe,a gente<G>,não tem muito costume não...,1,M,DID,II
gente<G> não tem muito costume não...,a gente<G>,recebe o povo em CAsa,1,M,DID,II
campainha pra pedir um favor... aí,a gente<G>,vai atende mas não tem,1,M,DID,II
Inf. tem vizinhos mas não,a gente<G>,não tem essa aproximidade,1,M,DID,II
uma economista... e elas sem::pre:: e,a gente<G>,via sempre elas MUI:to eu,1,M,DID,II
fui aprendendo a gostar... porque aí,a gente<G>,conVERsa bota umas coisas que,1,M,DID,II
gente<G> conVERsa bota umas coisas que,a gente<G>,não GOSta aí foi criANdo,1,M,DID,II
também tem que me acompanhar AÍ,a gente<G>,VAI NÉ pro paGOde aí,1,M,DID,II
né uhn éh:: parei ultimaMENte porque,a gente<G>,comprou uma CAsa né::,1,M,DID,II
Doc.que legal  Inf. porque,a gente<G>,tá pensando em caSAR aí,1,M,DID,II
PAI (ainda) é vivo mora com,a gente<G>,(mas como eu estou dizendo),1,M,DID,II
agrediu a minha MÃE... mas assim,a gente<G>,sempre soFREU né:: ( quando/quando),1,M,DID,II
soFREU né:: ( quando/quando) desde que,a gente<G>,desde que eu... me entenda,1,M,DID,II
hoje ele tá mais tranquilo porque,a gente<G>,virou um adolescente o meu,1,M,DID,II
aconteCER isso dentro de CAsa e,a gente<G>,FOI tomando as RÉdeas daquela,1,M,DID,II
momento só de um que quando,a gente<G>,morava em um apartaMENto que,1,M,DID,II
e aí eu e meu irmão,a gente<G>,viu... aí aquilo ficou marcado,1,M,DID,II
qu aí foi num momento que,a gente<G>...,sai de casa e volta,1,M,DID,II
não denunciOU não fez NAda aí::aí,a gente<G>,foi pra casa da minha,1,M,DID,II
pra casa da minha vó:: porque,a gente<G>,não queria mais morar com,1,M,DID,II
depois de uns meses foram aí,a gente<G>,voltou pra casa... pra pro,1,M,DID,II
começar a defender a minha mãe,a gente<G>,MESmo e a gente<G> foi...,1,M,DID,II
minha mãe a gente<G> MESmo e,a gente<G>,foi... fo::i tomando as RÉdias,1,M,DID,II
n fosse MAIS tão cruEL com,a gente<G>,hoje ele ainda bebe né,1,M,DID,II
coMEça a alterar a voz aí,a gente<G>,já... che/ não/não com agressão,1,M,DID,II
já... che/ não/não com agressão mas,a gente<G>,já chega pra conversar coloca,1,M,DID,II
ele no lugar dele:: e aí,a gente<G>,sim vai vivendo a nossa,1,M,DID,II
